file_name,file_path,shape,n_volumes,tr_seconds,total_duration_seconds,total_duration_minutes,spatial_units,time_units,n_sidecar_files_found,json_sidecar_found,status,error
p001_c005_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\c005\p001_c005_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_c003_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\p001_c003_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_c005_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\p001_c005_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_r004_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\p001_r004_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_r006_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\p001_r006_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_r004_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\r004\p001_r004_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p001_r006_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P001\r006\p001_r006_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_c003_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\c003\p002_c003_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_c005_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\c005\p002_c005_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_c003_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\p002_c003_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_c005_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\p002_c005_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_r004_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\p002_r004_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_r006_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\p002_r006_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_r004_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\r004\p002_r004_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p002_r006_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P002\r006\p002_r006_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_c003_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\c003\p003_c003_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_c006_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\c006\p003_c006_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_c003_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\p003_c003_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_c006_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\p003_c006_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_r004_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\p003_r004_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_r007_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\p003_r007_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_r004_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\r004\p003_r004_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p003_r007_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P003\r007\p003_r007_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_c004_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\c004\p004_c004_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_c005_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\c005\p004_c005_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_c004_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\p004_c004_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_c005_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\p004_c005_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_r003_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\p004_r003_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p004_r003_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P004\r003\p004_r003_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_c003_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\c003\p005_c003_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_c006_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\c006\p005_c006_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_c003_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\p005_c003_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_c006_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\p005_c006_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_r004_merged.nii,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\p005_r004_merged.nii,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
p005_r004_merged.nii.gz,C:/Users/naima/DySCo-main/DySCo-main/DELFT_NEW\P005\r004\p005_r004_merged.nii.gz,"(53, 63, 34, 296)",296,0.0,,,mm,sec,0,,ok,
